Product category,Product num,Description,Wholesale Price per Unit,Pre-season order price,Units per Case,num of Cases to Order,Total_Units,Subtotal,Date of last entry,Time of last entry
Socket Wire,C9-1000-12-G,"New: (pre-season only): C9 spool (E17/Intermediate base) 1000 ft, 18AWG SPT-2, 12"" spacing, GREEN",415,290.5,1,,0,0,,
Socket Wire,C9-1000-12-BK,"New: (pre-season only): C9 spool (E17/Intermediate base) 1000 ft, 18AWG SPT-2, 12"" spacing, BLACK",415,290.5,1,10,10,2905,,
Socket Wire,C9-1000-12-W,"New: (pre-season only): C9 spool (E17/Intermediate base) 1000 ft, 18AWG SPT-2, 12"" spacing, WHITE",415,290.5,1,10,10,2905,,
Socket Wire,C9-1000-12-BR,"New: (pre-season only): C9 spool (E17/Intermediate base) 1000 ft, 18AWG SPT-2, 12"" spacing, BROWN",415,290.5,1,,0,0,,
Socket Wire,C9-500-12-G,"C9 spool (E17/Intermediate base) 500 ft, 18AWG SPT-2, 12"" spacing, GREEN",230,161,1,,0,0,,
Socket Wire,C9-500-12-BK,"C9 spool (E17/Intermediate base) 500 ft, 18AWG SPT-2, 12"" spacing, BLACK",230,161,1,,0,0,,
Socket Wire,C9-500-12-W,"C9 spool (E17/Intermediate base) 500 ft, 18AWG SPT-2, 12"" spacing, WHITE",230,161,1,,0,0,,
Socket Wire,C9-500-12-BR,"C9 spool (E17/Intermediate base) 500 ft, 18AWG SPT-2, 12"" spacing, BROWN",230,161,1,,0,0,,
Socket Wire,C9-500-6-BK,"New: C9 spool (E17/Intermediate base) 500 ft, 18AWG SPT-2, 6"" spacing, BLACK",285,199.5,1,,0,0,,
Socket Wire,C9-500-6-W,"New: C9 spool (E17/Intermediate base) 500 ft, 18AWG SPT-2, 6"" spacing, WHITE",285,199.5,1,,0,0,,
Socket Wire,C9-500-15-BK,"New: C9 spool (E17/Intermediate base) 500 ft, 18AWG SPT-2, 15"" spacing, BLACK",215,150.5,1,,0,0,,
Socket Wire,C9-500-15-W,"New: C9 spool (E17/Intermediate base) 500 ft, 18AWG SPT-2, 15"" spacing, WHITE",215,150.5,1,,0,0,,
Socket Wire,C9-500-36-G,"New: C9 spool (E17/Intermediate base) 500 ft, 18AWG SPT-2, 36"" spacing, GREEN",180,126,1,,0,0,,
Socket Wire,C9-100-12-BK,"New: C9 wire (E17/Intermediate base) 100 ft, 18AWG SPT-2, 12"" spacing, with plugs, BLACK",48,33.6,5,,0,0,,
Socket Wire,C9-100-12-W,"New: C9 wire (E17/Intermediate base) 100 ft, 18AWG SPT-2, 12"" spacing, with plugs, WHITE",48,33.6,5,,0,0,,
Socket Wire,C9-25-12-G,"C9 wire (E17/Intermediate base) 25 ft, 18AWG SPT-2, 12"" spacing, with plugs, GREEN",14.75,10.325,25,,0,0,,
Socket Wire,C9-25-12-BK,"C9 wire (E17/Intermediate base) 25 ft, 18AWG SPT-2, 12"" spacing, with plugs, BLACK",14.75,10.325,25,,0,0,,
Socket Wire,C9-25-12-W,"C9 wire (E17/Intermediate base) 25 ft, 18AWG SPT-2, 12"" spacing, with plugs, WHITE",14.75,10.325,25,,0,0,,
Socket Wire,C9-25-12-BR,"C9 wire (E17/Intermediate base) 25 ft, 18AWG SPT-2, 12"" spacing, with plugs, BROWN",14.75,10.325,25,,0,0,,
Socket Wire,C7-500-12-G,"C7 spool (E12/Candelabra base) 500 ft, 18AWG SPT-2, 12"" spacing, GREEN",220,154,1,,0,0,,
Socket Wire,C7-500-12-BK,"C7 spool (E12/Candelabra base) 500 ft, 18AWG SPT-2, 12"" spacing, BLACK",220,154,1,,0,0,,
