,Product category,Product num,Description,Wholesale Price per Unit,Pre-season order price,Units per Case,num of Cases to Order,Total_Units,Subtotal,Date of last entry,Time of last entry
0,Socket Wire,C9-1000-12-G,"New: (pre-season only): C9 spool (E17/Intermediate base) 1000 ft, 18AWG SPT-2, 12"" spacing, GREEN",415.0,290.5,1,,0,0.0,,
1,Socket Wire,C9-1000-12-BK,"New: (pre-season only): C9 spool (E17/Intermediate base) 1000 ft, 18AWG SPT-2, 12"" spacing, BLACK",415.0,290.5,1,10.0,10,2905.0,,
2,Socket Wire,C9-1000-12-W,"New: (pre-season only): C9 spool (E17/Intermediate base) 1000 ft, 18AWG SPT-2, 12"" spacing, WHITE",415.0,290.5,1,10.0,10,2905.0,,
3,Socket Wire,C9-1000-12-BR,"New: (pre-season only): C9 spool (E17/Intermediate base) 1000 ft, 18AWG SPT-2, 12"" spacing, BROWN",415.0,290.5,1,,0,0.0,,
4,Socket Wire,C9-500-12-G,"C9 spool (E17/Intermediate base) 500 ft, 18AWG SPT-2, 12"" spacing, GREEN",230.0,161.0,1,,0,0.0,,
5,Socket Wire,C9-500-12-BK,"C9 spool (E17/Intermediate base) 500 ft, 18AWG SPT-2, 12"" spacing, BLACK",230.0,161.0,1,,0,0.0,,
6,Socket Wire,C9-500-12-W,"C9 spool (E17/Intermediate base) 500 ft, 18AWG SPT-2, 12"" spacing, WHITE",230.0,161.0,1,,0,0.0,,
7,Socket Wire,C9-500-12-BR,"C9 spool (E17/Intermediate base) 500 ft, 18AWG SPT-2, 12"" spacing, BROWN",230.0,161.0,1,,0,0.0,,
8,Socket Wire,C9-500-6-BK,"New: C9 spool (E17/Intermediate base) 500 ft, 18AWG SPT-2, 6"" spacing, BLACK",285.0,199.5,1,,0,0.0,,
9,Socket Wire,C9-500-6-W,"New: C9 spool (E17/Intermediate base) 500 ft, 18AWG SPT-2, 6"" spacing, WHITE",285.0,199.5,1,,0,0.0,,
10,Socket Wire,C9-500-15-BK,"New: C9 spool (E17/Intermediate base) 500 ft, 18AWG SPT-2, 15"" spacing, BLACK",215.0,150.5,1,,0,0.0,,
11,Socket Wire,C9-500-15-W,"New: C9 spool (E17/Intermediate base) 500 ft, 18AWG SPT-2, 15"" spacing, WHITE",215.0,150.5,1,,0,0.0,,
12,Socket Wire,C9-500-36-G,"New: C9 spool (E17/Intermediate base) 500 ft, 18AWG SPT-2, 36"" spacing, GREEN",180.0,126.0,1,,0,0.0,,
